Name,Video Link,Category,Intensity,Format,Initiation,Skills,Feedback,Objective,Winning Criteria,Verbal Cues,Min Ppl,Max Ppl,Round Type,Min Rounds,Max Rounds,Min Minutes per Round,Max Minutes per Round,Equipment,Framework
Ball Cart Basketball,,Ball Warm Up,Low,Continuous,Player Serve,,,,Points,,4,8,"Points, Time",1,1,3,10,Ball Cart,No Zombies
Buddy Catch Challenge,https://www.instagram.com/reel/DA8jgpVP3iS/?igsh=NnpqbjBsOWw4cHpm,Ball Warm Up,Low,3-Person Drill,Player Serve,Serving,,Serve Location,Points,,3,6,Time,3,3,1,2,,No Zombies
3 Person Short Court Pepper,,Ball Warm Up,moderate,"3-Person Drill, Continuous",Partner Toss,,,,,,3,6,Time,3,,,,,No Zombies
Overhead Dig from Knees ,,Ball Warm Up,Low,Partner Drill,Player Input,Overhand Dig,,,,,2,8,,4,8,1,3,,Blocked
Single-Arm Sideline Passing,,"Ball Warm Up, Skill Development",Low,Partner Drill,Partner Toss,Passing,"Pass Location, Slice vs Paddle",Improve platform angle,Development,,1,8,Time,2,4,1,2,,External Feedback
Water Bottle Sniper,,"Ball Warm Up, Skill Development",Low,"Continuous, Partner Drill",Partner Toss,Shot Location,Target,Target Weakness,,,1,6,"Reps, Time",2,4,,,,"External Feedback, No Zombies"
Short / Deep Triangle,,"Ball Warm Up, Skill Development",moderate,"3-Person Drill, Rotate",Coach Input,"Passing, Setting",,,,,2,6,"Reps, Time",2,4,2,8,,Flow Reps
Figure 8 Passing,,"Ball Warm Up, Skill Development",moderate,Partner Drill,Partner Toss,Passing,,"Improve platform angle, Spread Offense",Development,,2,8,Reps,2,6,1,2,Cones,"Blocked, External Feedback"
Brazilian Setting,,"Ball Warm Up, Skill Development",Low,Continuous,Player Input,Setting,,Setting Reps,,,3,6,Time,2,4,1,3,,Flow Reps
Pass / Set Flow,,Skill Development,Low,Rotate,"Coach on Box, Player Serve","Passing, Serving, Setting","Pass Location, Set: Can the target hit a standing shot without hitting tape?","Passing Reps, Setting Reps",Development,,3,5,Time,3,5,1,2,Bench,Flow Reps
Dig + Transition,,Skill Development,moderate,Rotate,"Coach Input, Coach on Box",Digging,,Defense Reps,Development,,1,4,Reps,1,4,1,3,"Ball Cart, Bench",Blocked
“Not Up in Here”,,Skill Development,moderate,Rotate,Coach on Box,Blocking,,,,,1,3,Reps,2,6,1,3,"Ball Cart, Bench","Blocked, Decision Making, Immediate Feedback"
Serve Types,,Skill Development,Low,,Player Serve,Serving,,,,,1,8,,,,,,,
Loop-De-Loo,,Skill Development,moderate,Rotate,"Coach on Box, Player Input",Blocking,,,,,1,8,Reps,2,4,1,3,Bench,Blocked
Offensive Vision,,Skill Development,moderate,Rotate,,"Sideout, Vision",,,,,,,,,,,,,"Decision Making, Visual Focus"
